chr1	0	247150807	247249719	0.9996
chr1	1	98912	247249719	0.000400049
chr21	0	46928331	46944323	0.999659
chr21	1	15992	46944323	0.000340659
chr22	0	49676075	49691432	0.999691
chr22	1	15357	49691432	0.000309047
chr3	0	199422735	199501827	0.999604
chr3	1	79092	199501827	0.000396447
chr6	0	170836223	170899992	0.999627
chr6	1	63769	170899992	0.000373136
chrX	0	154889288	154913754	0.999842
chrX	1	24466	154913754	0.000157933
chr2	0	242951149	242951149	1
chr4	0	191273063	191273063	1
chr5	0	180857866	180857866	1
chr7	0	158821424	158821424	1
chr8	0	146274826	146274826	1
chr9	0	140273252	140273252	1
chr10	0	135374737	135374737	1
chr11	0	134452384	134452384	1
chr12	0	132349534	132349534	1
chr13	0	114142980	114142980	1
chr14	0	106368585	106368585	1
chr15	0	100338915	100338915	1
chr16	0	88827254	88827254	1
chr17	0	78774742	78774742	1
chr18	0	76117153	76117153	1
chr19	0	63811651	63811651	1
chr20	0	62435964	62435964	1
chrY	0	57772954	57772954	1
chrM	0	16571	16571	1
genome	0	3080138463	3080436051	0.999903
genome	1	297588	3080436051	9.66058e-05
