chr1	0	247162506	247249719	0.999647
chr1	1	87213	247249719	0.000352732
chr21	0	46932488	46944323	0.999748
chr21	1	11835	46944323	0.000252107
chr22	0	49679885	49691432	0.999768
chr22	1	11547	49691432	0.000232374
chr3	0	199450555	199501827	0.999743
chr3	1	51272	199501827	0.000257
chr6	0	170843072	170899992	0.999667
chr6	1	56920	170899992	0.00033306
chrX	0	154902498	154913754	0.999927
chrX	1	11256	154913754	7.26598e-05
chr2	0	242951149	242951149	1
chr4	0	191273063	191273063	1
chr5	0	180857866	180857866	1
chr7	0	158821424	158821424	1
chr8	0	146274826	146274826	1
chr9	0	140273252	140273252	1
chr10	0	135374737	135374737	1
chr11	0	134452384	134452384	1
chr12	0	132349534	132349534	1
chr13	0	114142980	114142980	1
chr14	0	106368585	106368585	1
chr15	0	100338915	100338915	1
chr16	0	88827254	88827254	1
chr17	0	78774742	78774742	1
chr18	0	76117153	76117153	1
chr19	0	63811651	63811651	1
chr20	0	62435964	62435964	1
chrY	0	57772954	57772954	1
chrM	0	16571	16571	1
genome	0	3080206008	3080436051	0.999925
genome	1	230043	3080436051	7.46787e-05
